,stop_name,stop_lat,stop_lon
752,Bad Sooden-Allendorf,51.267975,9.968696
754,Bad St Peter Süd,54.30501,8.648041
755,Bad St Peter-Ording,54.31729,8.614736
756,Bad Staffelstein,50.108257,10.994239
758,Bad Steben,50.365093,11.64677
759,Bad Sulza,51.09477,11.634595
761,Bad Säckingen,47.55586,7.94863
763,Bad Teinach-Neubulach,48.67847,8.727148
765,Bad Tölz,47.76058,11.57394
767,Bad Tönisstein,50.459316,7.298859
768,Bad Urach,48.491245,9.396483
769,Bad Urach Ermstalklinik,48.494156,9.386901
770,Bad Urach Wasserfall,48.499264,9.376401
771,Bad Vigaun,47.664158,13.124053
773,Bad Vilbel,50.18868,8.73946
778,Bad Vilbel Süd,50.178696,8.733477
780,Bad Vilbel-Gronau,50.19153,8.783203
781,Bad Waldsee,47.925243,9.752274
783,Bad Wildungen,51.119617,9.136091
784,Bad Wilsnack,52.960228,11.949344
786,Bad Wimpfen,49.229744,9.167297
788,Bad Wimpfen-Hohenstadt,49.24254,9.138753
789,Bad Windsheim,49.5066,10.412942
791,Bad Wurzach,47.91026,9.889739
792,Bad Wörishofen,48.00571,10.597875
793,Bad Zwischenahn,53.18255,8.003123
795,Baddeckenstedt,52.08916,10.228767
797,Baden(Verden),53.007874,9.081261
799,Baden-Baden,48.790325,8.190831
804,Bagenz,51.65489,14.426908
805,Bahlingen Riedlen,48.11802,7.747776
806,Bahlingen am Kaiserstuhl,48.124493,7.741516
807,Bahnhof Goßdorf-Kohlmühle,50.941166,14.16486
809,Bahnhof Oranienbaum,51.800987,12.390489
811,Bahnhof Wörlitz,51.83788,12.421551
812,Bahnsdorf,51.581745,14.112288
814,Baierbrunn,48.01874,11.480027
817,Baiersbronn Bf,48.504105,8.371868
818,Baiersdorf,49.656147,11.036976
820,Baitz,52.16415,12.685111
822,Bakov n.Jizerou,50.472122,14.922634
824,Bakov nad Jizerou mesto,50.478954,14.939109
825,Balbersdorf,49.29044,12.683064
826,Baldham,48.099255,11.78678
828,Balduinstein,50.34739,7.967609
830,Balgheim,48.065887,8.759892
831,Balgstädt,51.208294,11.738454
832,Balingen Süd,48.269012,8.846484
833,Balingen(Württ),48.27847,8.850307
836,Ballstädt(Gotha),51.04075,10.707666
838,Baltersweiler,49.493786,7.166538
840,Balve,51.332596,7.863071
841,Bamberg,49.90076,10.899489
848,Bammental,49.35959,8.783685
850,Bannemin-Mölschow,54.071262,13.836052
851,Bansin Seebad,53.96439,14.129385
852,Banteln,52.066265,9.75033
854,Bantorf,52.332253,9.417771
856,Bantzenheim,47.810986,7.503901
857,Barabein,48.144733,9.826902
858,"Barbarossaplatz, Karlsruhe",48.99502,8.388845
859,Barbelroth,49.10412,8.070307
860,Barchel,53.47198,9.027388
861,Bardowick,53.29047,10.371994
863,Bargstedt,53.457542,9.446276
864,Bargteheide,53.7282,10.269104
868,Barleben,52.208946,11.620875
869,Barleber See,52.21433,11.640852
871,Barmstedt,53.792976,9.772007
872,Barmstedt Brunnenstr,53.792618,9.761888
873,Barnstorf(Han),52.70759,8.510462
875,Barnten,52.1955,9.815279
879,Barrien,52.94684,8.818506
881,Barsinghausen,52.30489,9.467112
883,Barth,54.362343,12.72646
884,Barthmühle,50.557957,12.163681
886,Baruth(Mark),52.057915,13.511963
889,Basdahl Kluste,53.4542,9.012175
890,Basdorf,52.71556,13.433993
891,"Basdorf (BAR), Bahnhof",52.716206,13.434091
894,Basel Bad Bf,47.567287,7.607805
905,Basel SBB,47.547405,7.589551
915,Basse-Ham,49.38074,6.235114
916,Bassum,52.84739,8.739924
918,Batowice Lubanskie,51.090893,15.15554
919,Batzenhäusle,48.089066,7.94108
920,Batzhausen,49.191364,11.593033
922,Baumholder,49.612217,7.330917
923,Baunach,49.98909,10.854115
924,Baunatal-Guntershausen,51.229916,9.466997
928,Baunatal-Guntershausen Gl.1 Ri. Kassel,51.230133,9.466239
929,Baunatal-Guntershausen Gl.2 Ri. Melsungen,51.230133,9.466239
930,Baunatal-Rengershausen,51.25492,9.468667
933,Baunatal-Rengershausen Gl.1 Ri. Kassel,51.254913,9.468681
934,Baunatal-Rengershausen Gl.2 Ri. Melsungen,51.254913,9.468681
935,Baunhoej,55.63612,8.283025
936,Bautzen,51.173096,14.428735
938,Bavendorf,53.187473,10.629537
939,Bayerbach,48.414413,13.134451
940,Bayerisch Eisenstein,49.12147,13.208802
941,Bayerisch Gmain,47.720375,12.89507
942,Bayreuth Hbf,49.949615,11.579985
949,Bayreuth-St Georgen,49.95734,11.596683
950,Bayrischzell,47.675545,12.011157
953,Bebra,50.969566,9.797788
958,Bechstedt-Trippstein,50.659733,11.168153
959,Beckingen(Saar),49.386883,6.688021
961,Beckum-Neubeckum,51.801952,8.02136
963,Bedburg(Erft),50.987476,6.572615
965,Bedburg-Hau,51.758053,6.173479
967,Beelen,51.92932,8.116159
969,Beelitz Stadt,52.239395,12.96686
971,Beelitz-Heilstätten,52.262344,12.926057
973,Beerfelden Hetzbach,49.5949,8.992856
974,Beeskow,52.177685,14.250974
976,"Beeskow, Bahnhof",52.177677,14.252437
978,"Beeskow, Oegeln Bhf",52.172306,14.268554
979,"Beeskow, Schneeberg Bhf",52.16589,14.325295
980,Beetz-Sommerfeld,52.80426,13.022086
981,Behringersdorf,49.481575,11.198498
983,Beienheim,50.35913,8.821022
986,Beilrode,51.571007,13.064935
988,Beimerstetten,48.480972,9.976835
990,Bela p.Bezdezem,50.48834,14.835901
991,Bela p.Bezdezem mesto,50.493294,14.787267
992,Bela p.Bezdezem z.,50.50019,14.868879
993,Bela u Stare Paky,50.53247,15.442552
994,Bela u Stare Paky z.,50.53372,15.445615
995,Beldorf,54.125267,9.356217
996,Belfort-Montbéliard TGV,47.58594,6.897634
997,Belgershain,51.233948,12.542785
999,Belleben,51.673603,11.633376
1000,Bellenberg,48.254646,10.09039
1001,Bellheim Bf,49.188305,8.29456
1003,Bempflingen,48.572365,9.273425
1005,Benediktbeuern,47.70912,11.403051
1006,Benesov n.Ploucnici,50.73822,14.30427
1007,Bengel,50.01038,7.05803
1009,Bening,49.13819,6.828917
1010,Benndorf,51.575447,11.492005
1011,Benneckenstein Bek_Klb 001 P1,51.67399,10.718334
1012,Benneckenstein Bek_Klb 002 P2,51.674377,10.721313
1013,Benneckenstein Bek_Klb 003 P3,51.673363,10.723139
1014,Benneckenstein Bek_Klb 004 P4,51.67139,10.723224
1015,Benneckenstein Bek_Klb 005 P5,51.670338,10.724586
1016,Benneckenstein Bek_Klb 006 P6,51.669907,10.728212
1017,Benneckenstein Bek_Klb 007 P7,51.66904,10.731591
1018,Benneckenstein Bek_Klb 008 P8,51.66805,10.734705
1019,Benneckenstein Bek_Klb 009 P9,51.664207,10.737954
1020,Benneckenstein Bek_Klb 010 P10,51.662804,10.741789
1021,Benneckenstein Bek_Klb 011 P11,51.66199,10.74686
1022,Benneckenstein Bek_Klb 012 P12,51.662727,10.752395
1023,Benneckenstein Bek_Klb 013 P13,51.662537,10.754238
1024,Benneckenstein Bek_Klb 014 P14,51.661312,10.757298
1025,Benneckenstein Bek_Klb 015 P15,51.66132,10.761837
1026,Benneckenstein Bek_Klb 016 P16,51.660126,10.765158
1027,Benneckenstein Benneckenstein Gleis 1,51.673645,10.714938
1028,Benneckenstein Benneckenstein Gleis 2,51.673737,10.714884
1029,Benneckenstein Klb_Sh 001 P1,51.656265,10.760672
1030,Benneckenstein Klb_Sh 002 P2,51.651527,10.759448
1031,Benneckenstein Klb_Sh 003 P3,51.64468,10.770236
1032,Benneckenstein Klb_Sh 004 P4,51.6435,10.774466
1033,Benneckenstein Klb_Sh 005 P5,51.641815,10.774025
1034,Benneckenstein Klb_Sh 006 P6,51.643227,10.780654
1035,Benneckenstein Klb_Sh 007 P7,51.641556,10.78485
1036,Benneckenstein Kälberbruch Gleis 1,51.658302,10.763974
