,stop_name,stop_lat,stop_lon
1351,Wien Hbf,48.184925,16.375866
1361,Wien Meidling,48.17445,16.333088
1365,Wiener Neustadt Hbf,47.81056,16.233187
1367,Wiesbaden Hbf,50.07079,8.243731
1370,Wiesloch-Walldorf,49.29135,8.664146
1373,Winterthur,47.500336,8.723821
1377,Witten Hbf,51.435543,7.329442
1379,Wittenberge,53.003117,11.762871
1382,Wolfsburg Hbf,52.429497,10.787784
1386,Worms Hbf,49.63494,8.356448
1388,Wroclaw Glowny,51.09808,17.037088
1389,Wuppertal Hbf,51.254364,7.149543
1391,Wörgl Hbf,47.4918,12.060581
1393,Würzburg Hbf,49.801796,9.93578
1401,Zabrze,50.30528,18.786947
1402,Zagreb Glavni kolodvor,45.80444,15.978705
1403,Zbaszynek,52.242508,15.818092
1404,Zidani Most,46.085587,15.170324
1405,Zielona Gora Gl.,51.947437,15.513709
1406,Zürich Flughafen,47.450386,8.562402
1409,Zürich HB,47.378178,8.540212
1425,Züssow,53.97388,13.548191
1427,Ötztal,47.238483,10.859114
1429,Übersee,47.82205,12.487338
